"region","age","level of education","sex","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020"
"SE11 Stockholm","25-34 years","post-secondary education, less than 3 years (ISCED97 4+5B)","women",18629,19342,19122,18408,18516,23390,22995,24623,25716,28317,29229,30487,31522,32341,33060,25999,24853,24112,23310,22410,21671,21326,21417,21860,22610,23642,25050,26524,28006,29323,30408,31661,32797,33636,34428,34015
"SE11 Stockholm","25-34 years","post-secondary education 3 years or more (ISCED97 5A)","men",16373,16522,16300,15957,16516,19637,19221,18001,17436,18980,19416,19847,20811,21624,23272,33736,35974,37446,38086,38915,40356,41607,43048,43926,44298,45447,46822,48251,49693,50600,51303,52418,53519,56239,57389,58240
"SE11 Stockholm","25-34 years","post-secondary education 3 years or more (ISCED97 5A)","women",13177,13471,13636,13818,14542,17445,17445,16726,16422,18554,19554,20694,22800,25018,27938,40021,43485,46158,47900,50248,52940,54705,56843,58286,59276,60938,62957,64911,67280,69097,70872,72712,74438,77163,79398,81358
"SE11 Stockholm","25-34 years","post-graduate education (ISCED97 6)","men",440,491,503,507,556,635,608,569,600,851,842,848,883,951,1146,1391,1512,1494,1464,1434,1396,1319,1281,1303,1344,1345,1388,1396,1383,1394,1408,1430,1395,1371,1369,1334
"SE11 Stockholm","25-34 years","post-graduate education (ISCED97 6)","women",184,210,202,199,227,236,247,215,218,430,385,396,419,463,608,798,913,1035,1107,1144,1167,1128,1095,1089,1142,1184,1189,1183,1153,1171,1183,1183,1203,1203,1137,1090
"SE11 Stockholm","25-34 years","no information about level of educational attainment","men",16986,16052,16243,16598,17530,4663,6131,7722,8998,5188,4928,5486,4400,5042,4341,3815,4229,3816,4175,4267,4608,5858,6259,6829,7444,7961,8183,8407,8622,8889,9235,10276,11468,11423,12313,11547
"SE11 Stockholm","25-34 years","no information about level of educational attainment","women",13812,12970,13481,13694,13816,3100,4595,6054,7562,3821,3910,4514,4116,4730,4051,3435,3785,3371,3934,3840,3801,4656,4580,4903,5440,5616,5477,5794,6049,6155,6336,6781,7726,8238,9018,8274
"SE11 Stockholm","35-44 years","primary and secondary education less than 9 years (ISCED97 1)","men",14906,13578,11615,9926,8017,8447,7014,5836,5089,4733,4332,3997,3555,3320,3261,2887,2752,2698,2796,2784,2801,2945,3048,3179,3286,3413,3552,3721,3772,3868,4001,4195,4528,4721,4911,4901
"SE11 Stockholm","35-44 years","primary and secondary education less than 9 years (ISCED97 1)","women",13078,12178,10541,9229,7146,6991,6110,5136,4579,4505,4337,4204,3941,3803,3884,3553,3467,3445,3530,3621,3633,3648,3806,3977,4212,4376,4461,4565,4623,4590,4630,4652,4625,4666,4585,4390
"SE11 Stockholm","35-44 years","primary and secondary education 9-10 years (ISCED97 2)","men",13687,14729,15860,17320,18407,18714,19013,19002,19074,19339,19363,19550,20432,20519,20725,19310,18863,18402,17564,16800,16197,15685,15177,14815,14235,13382,12817,12845,13342,13915,14006,14211,14359,14341,14377,14696
"SE11 Stockholm","35-44 years","primary and secondary education 9-10 years (ISCED97 2)","women",16597,16804,16954,17129,16193,15801,15636,14356,13965,13766,13660,13664,14258,14796,15206,12872,12521,12281,11762,11372,11016,10719,10404,10022,9671,9142,8764,8465,8397,8462,8255,8231,8228,8113,7972,7947
"SE11 Stockholm","35-44 years","upper secondary education, 2 years or less (ISCED97 3C)","men",28235,28901,29604,29317,28553,30662,31168,31788,32216,33199,34076,35188,36419,37895,39794,41761,42731,43613,43795,43721,43755,43645,43140,42019,40012,37317,34519,31144,28397,26088,24038,21746,19896,18408,17277,16564
"SE11 Stockholm","35-44 years","upper secondary education, 2 years or less (ISCED97 3C)","women",38598,38857,38907,38056,37489,37685,36588,37051,36400,36452,36651,37227,37725,38177,39426,39718,39611,39075,38217,37333,36483,35551,34362,32894,30706,28709,26363,23954,21879,20072,18595,16968,15739,14882,14161,13728
"SE11 Stockholm","35-44 years","upper secondary education 3 years (ISCED97 3A)","men",25303,24841,24120,23022,21503,21815,20437,19554,18497,18099,17743,17703,17755,17911,18456,19866,20434,20846,21028,21233,21434,21840,22548,23157,24635,26398,28426,30594,32227,33849,35493,36784,37545,38027,38065,37831
"SE11 Stockholm","35-44 years","upper secondary education 3 years (ISCED97 3A)","women",13171,13764,14101,14262,14324,14772,14648,14529,14468,14768,14899,15149,15651,16205,17313,20987,22672,24103,25196,26016,26920,27708,28441,28981,29434,29777,30136,30660,30882,31360,31519,31436,31037,30551,30024,29478
"SE11 Stockholm","35-44 years","post-secondary education, less than 3 years (ISCED97 4+5B)","men",10360,11152,11603,11936,12539,15921,16242,16807,17564,18825,19349,19992,20760,21515,22693,23139,23948,24856,25488,25940,26608,27103,27559,27630,27303,26747,26183,25658,25232,25085,25026,25007,25085,25564,26236,27233
"SE11 Stockholm","35-44 years","post-secondary education, less than 3 years (ISCED97 4+5B)","women",16506,17524,18192,18775,19586,23521,23522,23876,24136,24911,25326,25668,26123,26525,27125,26063,26439,26896,27159,26955,26212,25979,25422,24935,24478,23842,23204,22686,22370,22079,22192,22392,22756,23229,23803,24488
"SE11 Stockholm","35-44 years","post-secondary education 3 years or more (ISCED97 5A)","men",24012,24358,24257,23793,23618,25273,24746,24102,23670,24413,24427,24770,24979,25421,26577,28698,29744,30993,31852,33018,34396,36300,38477,40740,42993,44946,47259,48900,50684,52685,54738,56187,57454,59196,60290,61284
"SE11 Stockholm","35-44 years","post-secondary education 3 years or more (ISCED97 5A)","women",21705,22378,22333,22045,21764,23092,22628,21942,21580,22173,22105,22375,22826,23503,25079,28709,30372,32007,33623,35727,38749,42061,45473,48916,52380,55452,58730,61474,64045,67192,70201,72194,74109,75449,76890,78624
"SE11 Stockholm","35-44 years","post-graduate education (ISCED97 6)","men",2133,2091,2065,2040,2019,1939,1963,1908,1882,2156,2174,2219,2252,2320,2564,2783,2942,3038,3111,3193,3313,3388,3472,3512,3556,3563,3613,3592,3635,3595,3625,3634,3749,3803,3946,4022
"SE11 Stockholm","35-44 years","post-graduate education (ISCED97 6)","women",1021,1036,1033,995,950,543,553,554,569,729,799,856,936,992,1151,1323,1453,1532,1640,1800,1964,2120,2333,2487,2633,2721,2883,3023,3168,3220,3303,3340,3395,3488,3562,3650
"SE11 Stockholm","35-44 years","no information about level of educational attainment","men",13814,13463,13739,13963,14120,3733,4419,5048,5820,3725,3619,4025,3497,3880,3168,2878,3041,2630,2750,2737,2664,2986,3212,3445,3878,4195,4472,4937,5369,5839,6491,7414,8422,8760,9714,9715
"SE11 Stockholm","35-44 years","no information about level of educational attainment","women",8830,8495,9035,9270,9469,2020,2660,3279,4060,2239,2358,2644,2503,2900,2414,2155,2301,1989,2179,2070,1984,2201,2054,2180,2401,2407,2567,2651,2747,2919,3109,3483,3905,4355,4912,4789
"SE11 Stockholm","45-54 years","primary and secondary education less than 9 years (ISCED97 1)","men",21177,21010,20620,20524,20097,21990,21184,20190,18870,17604,16159,14565,12616,10906,9299,7499,6295,5355,4851,4416,4139,3863,3768,3757,3718,3702,3702,3673,3757,3816,3819,3898,3978,4016,4046,4061
"SE11 Stockholm","45-54 years","primary and secondary education less than 9 years (ISCED97 1)","women",20419,20022,19279,18996,17664,17684,16805,15303,14335,13428,12360,11203,9908,8711,7580,6318,5637,5026,4634,4411,4352,4300,4370,4433,4541,4645,4737,4800,4861,4930,4897,4908,4931,4936,5019,4993
"SE11 Stockholm","45-54 years","primary and secondary education 9-10 years (ISCED97 2)","men",4771,5074,5400,6012,6618,8198,9223,10095,11073,12060,13018,13901,15092,16173,17196,16894,17233,17498,17473,17530,17465,17563,17728,17547,17398,17326,17018,16571,16007,15390,14963,14653,14264,13952,13455,12734
"SE11 Stockholm","45-54 years","primary and secondary education 9-10 years (ISCED97 2)","women",9241,9437,9781,10410,10728,11226,11933,11876,12414,12992,13369,13586,13926,14391,14484,13335,12975,12654,12175,11746,11446,11261,11203,11199,11106,10936,10717,10532,10250,9982,9806,9657,9369,8990,8651,8163
"SE11 Stockholm","45-54 years","upper secondary education, 2 years or less (ISCED97 3C)","men",16987,17787,18705,19929,21148,22260,23371,24682,25602,26390,27082,27632,28282,28332,28416,29550,30254,30910,31515,32276,33162,34226,35269,36661,38554,39876,41075,42196,42827,43297,43573,43713,43203,42147,40263,37903
"SE11 Stockholm","45-54 years","upper secondary education, 2 years or less (ISCED97 3C)","women",24622,25453,26650,28331,30874,32855,34308,36779,37892,38527,39158,39307,39144,38087,36888,36645,35847,35317,34588,34299,34263,34339,34536,34917,35793,36116,36288,36237,36096,35711,35222,34513,33369,32094,30255,28348
"SE11 Stockholm","45-54 years","upper secondary education 3 years (ISCED97 3A)","men",15634,16302,17364,18561,19966,22116,23298,24196,24865,25299,25454,25118,24687,23644,22500,21277,20141,19354,18425,17813,17455,17332,17302,17561,18129,18674,19278,19707,20086,20506,20883,21357,22370,22899,24191,25726
"SE11 Stockholm","45-54 years","upper secondary education 3 years (ISCED97 3A)","women",5372,5638,6205,6886,7854,9420,10304,11210,12034,12869,13495,13996,14418,14483,14388,14888,14968,15085,15263,15390,15555,15851,16622,17481,18773,20146,21676,22882,24125,25063,26049,26789,27624,28094,28423,28644
"SE11 Stockholm","45-54 years","post-secondary education, less than 3 years (ISCED97 4+5B)","men",5885,6178,6596,7144,7853,10060,10665,11241,11818,12686,13589,14372,15061,15530,15944,16387,16917,17547,18202,18719,18989,19566,20152,20958,22054,23169,24129,25080,25856,26511,27285,28033,28567,28731,28396,27885
"SE11 Stockholm","45-54 years","post-secondary education, less than 3 years (ISCED97 4+5B)","women",8038,8755,9546,10294,11833,15514,16617,17917,19049,20195,21255,22033,22729,23410,23622,21547,21809,21938,22430,22483,22417,22629,22917,23266,23948,24502,24748,25033,25257,25552,25772,25948,25824,25660,25139,24494
"SE11 Stockholm","45-54 years","post-secondary education 3 years or more (ISCED97 5A)","men",11177,12023,13342,14942,17020,19500,21025,22418,23586,24961,25755,26222,26467,26315,25957,26166,26014,25868,25697,25726,26025,26466,27259,27979,29239,30285,31552,32651,33897,35226,36701,38524,40641,43002,45105,47069
"SE11 Stockholm","45-54 years","post-secondary education 3 years or more (ISCED97 5A)","women",9994,10854,12126,13612,15390,17671,19266,20832,22215,23633,24658,25271,25460,25463,25306,27627,27386,27348,26973,27136,27967,28661,29928,31196,32957,34667,36763,38684,40681,42614,44931,47974,50902,54177,57241,59976
"SE11 Stockholm","45-54 years","post-graduate education (ISCED97 6)","men",1850,1952,2087,2257,2424,2466,2544,2623,2668,2787,2800,2774,2749,2711,2719,2736,2792,2733,2720,2726,2783,2820,2850,2920,3016,3142,3282,3466,3580,3705,3777,3896,4013,4075,4084,4135
"SE11 Stockholm","45-54 years","post-graduate education (ISCED97 6)","women",648,738,825,963,1127,734,775,812,817,891,925,939,964,974,1022,1074,1147,1172,1253,1339,1454,1517,1581,1682,1869,2007,2133,2244,2373,2527,2685,2899,3123,3323,3497,3611
"SE11 Stockholm","45-54 years","no information about level of educational attainment","men",7092,6979,7329,7762,8345,2470,2834,3177,3465,2579,2605,2744,2321,2396,2102,1964,2000,1663,1685,1710,1618,1909,1766,1831,1999,1999,2003,2248,2405,2638,2895,3198,3642,4066,4547,4824
"SE11 Stockholm","45-54 years","no information about level of educational attainment","women",4621,4363,4631,4784,4999,1260,1514,1776,2036,1453,1588,1707,1554,1618,1515,1310,1348,1223,1242,1287,1212,1483,1239,1361,1440,1431,1348,1377,1432,1429,1450,1628,1797,1975,2156,2180
"SE11 Stockholm","55-64 years","primary and secondary education less than 9 years (ISCED97 1)","men",25512,24296,23300,22471,21448,22781,22009,21239,20606,20367,19985,19718,19197,19159,19017,18573,17918,17173,16103,14844,13574,12266,10878,9505,8264,7051,6137,5359,4856,4566,4352,4186,4004,3917,3874,3805
"SE11 Stockholm","55-64 years","primary and secondary education less than 9 years (ISCED97 1)","women",32301,30621,28827,27290,24631,25062,23643,21844,20441,19470,18479,17615,16709,16224,15880,15134,14295,13535,12671,11690,10789,9861,8891,7928,7045,6296,5848,5390,5141,5087,5126,5114,5070,5097,5089,5070
"SE11 Stockholm","55-64 years","primary and secondary education 9-10 years (ISCED97 2)","men",3614,3585,3579,3579,3585,3862,3942,3987,4136,4364,4547,4828,5402,6074,6757,7488,8381,9317,10156,10923,11773,12377,13019,13744,14580,14953,15268,15522,15607,15766,15764,15876,15827,15688,15557,15555
"SE11 Stockholm","55-64 years","primary and secondary education 9-10 years (ISCED97 2)","women",9178,9063,8892,8652,8710,8110,8015,7770,7779,7740,7774,7894,8210,8803,9371,9734,10320,10902,11409,11855,12114,12189,12204,12125,12126,12022,11772,11474,11106,10762,10472,10273,10104,10054,9915,9809
"SE11 Stockholm","55-64 years","upper secondary education, 2 years or less (ISCED97 3C)","men",14565,14200,14011,13805,13581,13354,13466,13760,14054,14546,15107,15783,16668,17662,18862,20339,21413,22611,23500,24218,24824,25395,25826,25981,26039,26493,27314,28047,28920,29957,31004,32179,32807,34310,36155,37378
"SE11 Stockholm","55-64 years","upper secondary education, 2 years or less (ISCED97 3C)","women",24510,23761,23368,22711,22750,22333,22218,23069,23451,24008,24475,25285,26411,27878,29660,31759,33301,34527,35516,35990,36445,36514,36365,35687,34610,33582,32921,32514,32121,32101,32113,32423,31950,32264,33199,33601
"SE11 Stockholm","55-64 years","upper secondary education 3 years (ISCED97 3A)","men",14498,14061,13789,13414,13155,13530,13589,13863,14263,14866,15411,16052,17019,18218,19608,20611,21675,22459,22997,23156,23236,22933,22414,21511,20346,19213,18277,17575,16988,16568,16339,16366,16988,17228,17671,18090
"SE11 Stockholm","55-64 years","upper secondary education 3 years (ISCED97 3A)","women",4741,4573,4471,4359,4406,4840,4924,5157,5365,5621,6003,6400,6982,7734,8549,9298,10085,10837,11560,12243,12854,13410,13774,13957,13957,14053,14172,14351,14522,14722,14978,15408,16699,17546,18666,19906
"SE11 Stockholm","55-64 years","post-secondary education, less than 3 years (ISCED97 4+5B)","men",4507,4534,4608,4636,4642,5376,5507,5743,6070,6340,6647,6974,7569,8323,9120,9778,10367,10916,11523,12233,13114,13774,14361,14932,15428,15979,16622,17234,17936,18573,18860,19454,20037,20817,21797,22856
"SE11 Stockholm","55-64 years","post-secondary education, less than 3 years (ISCED97 4+5B)","women",4514,4668,4863,5156,5531,7133,7578,8082,8659,9389,9971,10714,11713,12712,13960,13666,14737,15864,17050,17928,18626,19245,19695,20081,20293,20559,20628,20801,21015,21177,21592,21949,22522,22890,23442,23917
"SE11 Stockholm","55-64 years","post-secondary education 3 years or more (ISCED97 5A)","men",8099,8063,8191,8211,8470,8948,9185,9558,9991,10759,11400,12220,13621,15243,17137,18928,20482,21934,23063,24008,24830,25338,25682,25619,25424,25256,25318,25292,25468,25696,26069,26806,27566,28298,29573,30445
"SE11 Stockholm","55-64 years","post-secondary education 3 years or more (ISCED97 5A)","women",5502,5853,6219,6564,6915,7169,7652,8115,8724,9490,10203,11110,12479,14064,15832,19168,20880,22541,23791,24979,26199,26948,27242,27615,27637,27674,27937,28079,28408,28826,29420,30310,31517,32773,34524,36116
"SE11 Stockholm","55-64 years","post-graduate education (ISCED97 6)","men",1163,1210,1255,1298,1323,1350,1426,1497,1593,1739,1851,1985,2121,2301,2499,2613,2737,2820,2878,2908,2955,2915,2886,2864,2849,2806,2837,2851,2842,2880,2982,3053,3083,3161,3233,3393
"SE11 Stockholm","55-64 years","post-graduate education (ISCED97 6)","women",282,287,309,324,350,297,343,367,414,488,546,608,692,782,864,984,1052,1125,1149,1162,1219,1252,1293,1327,1388,1429,1488,1560,1639,1729,1851,1913,2021,2124,2260,2403
"SE11 Stockholm","55-64 years","no information about level of educational attainment","men",5254,5056,5075,4951,4959,1341,1454,1611,1761,1641,1677,1781,1600,1673,1718,1707,1775,1682,1700,1615,1453,1410,1296,1266,1282,1255,1156,1190,1234,1256,1325,1448,1557,1660,1831,1865
"SE11 Stockholm","55-64 years","no information about level of educational attainment","women",4579,4254,4322,4157,4142,1175,1409,1606,1741,1672,1669,1742,1630,1666,1697,1685,1685,1584,1548,1500,1309,1287,1242,1211,1192,1148,999,988,1021,1021,1025,1092,1114,1219,1316,1319
"SE11 Stockholm","65-74 years","primary and secondary education less than 9 years (ISCED97 1)","men",24675,24533,23927,23354,22843,22216,21709,21020,20706,20257,19363,18560,18027,17331,16733,16304,15894,15482,15065,14944,14782,14613,14454,14444,14381,14269,13857,13413,12618,11693,10701,9679,8555,7510,6557,5559
"SE11 Stockholm","65-74 years","primary and secondary education less than 9 years (ISCED97 1)","women",38292,37926,36911,35869,34697,33562,32570,31504,30458,29434,27645,26003,24578,23144,21706,20529,19262,18078,16862,15971,15126,14507,13861,13476,13163,12748,12145,11570,10950,10208,9457,8687,7884,7096,6417,5784
"SE11 Stockholm","65-74 years","primary and secondary education 9-10 years (ISCED97 2)","men",2975,2940,2866,2826,2822,2806,2821,2819,2852,2858,2841,2837,2897,2901,2956,2944,3027,3157,3327,3506,3672,3949,4242,4687,5226,5925,6677,7433,8273,8977,9660,10146,10636,11198,11807,11974
"SE11 Stockholm","65-74 years","primary and secondary education 9-10 years (ISCED97 2)","women",8002,8071,8053,8102,8245,8348,8374,8273,8166,8094,7846,7689,7532,7277,7058,6842,6726,6723,6722,6717,6726,6856,7024,7418,7851,8387,8930,9401,9923,10384,10653,10742,10717,10590,10466,10183
"SE11 Stockholm","65-74 years","upper secondary education, 2 years or less (ISCED97 3C)","men",11190,11462,11539,11633,11704,11729,11607,11494,11455,11352,10982,10718,10535,10377,10316,10397,10533,10659,10939,11368,11800,12353,13138,14019,15024,15999,16925,17917,18676,19321,19843,20383,20702,20933,21079,21595
"SE11 Stockholm","65-74 years","upper secondary education, 2 years or less (ISCED97 3C)","women",19291,20207,20723,21272,21727,22111,22324,22393,22362,22274,21675,21188,20912,20471,20089,19786,19756,19926,20328,20723,21055,21855,22812,24207,25843,27363,28725,29789,30638,31135,31522,31539,30963,30396,29474,28625
"SE11 Stockholm","65-74 years","upper secondary education 3 years (ISCED97 3A)","men",9386,10055,10535,10939,11360,11690,11923,11948,11946,11895,11692,11468,11392,11244,11114,11063,11200,11514,11851,12263,12639,13184,14016,15069,16286,17318,18233,18927,19468,19660,19801,19555,19348,18620,17689,16747
"SE11 Stockholm","65-74 years","upper secondary education 3 years (ISCED97 3A)","women",3567,3786,3974,4130,4267,4357,4379,4349,4353,4387,4406,4328,4367,4342,4341,4386,4496,4688,4842,5051,5339,5644,6106,6731,7495,8154,8858,9524,10205,10859,11481,11963,12632,12828,12913,13087
"SE11 Stockholm","65-74 years","post-secondary education, less than 3 years (ISCED97 4+5B)","men",2916,3096,3252,3378,3517,3632,3753,3829,3886,3938,3978,4053,4168,4244,4328,4476,4643,4853,5145,5367,5625,5966,6424,7069,7813,8404,9033,9547,10116,10836,11636,12235,12864,13446,13939,14367
"SE11 Stockholm","65-74 years","post-secondary education, less than 3 years (ISCED97 4+5B)","women",2860,3089,3214,3301,3470,3706,3929,4144,4393,4724,4934,5180,5462,5822,6155,6007,6342,6746,7152,7632,8024,8580,9443,10217,11301,12340,13318,14371,15363,16197,16915,17573,18142,18611,18808,19076
"SE11 Stockholm","65-74 years","post-secondary education 3 years or more (ISCED97 5A)","men",5500,5784,5927,6125,6344,6647,6812,6908,7012,7104,7205,7268,7428,7472,7574,7827,8079,8445,8895,9482,10078,10825,12031,13519,15209,16754,18258,19752,20883,21882,22675,23252,23638,23656,23413,23254
"SE11 Stockholm","65-74 years","post-secondary education 3 years or more (ISCED97 5A)","women",2884,3082,3243,3355,3563,3691,3944,4163,4415,4666,4999,5315,5672,6020,6324,7272,7813,8351,8966,9718,10394,11329,12668,14307,16047,17800,19558,21230,22631,23931,25076,25820,26200,26509,26600,26614
"SE11 Stockholm","65-74 years","post-graduate education (ISCED97 6)","men",717,743,769,815,857,841,852,889,920,938,976,1034,1093,1132,1167,1232,1304,1386,1465,1589,1703,1817,1964,2148,2341,2483,2596,2700,2790,2832,2841,2850,2867,2840,2832,2771
"SE11 Stockholm","65-74 years","post-graduate education (ISCED97 6)","women",173,192,199,218,238,194,197,203,219,231,225,222,237,257,270,296,345,379,447,522,584,649,721,809,894,1011,1094,1199,1225,1252,1281,1326,1382,1426,1467,1514
