"region","age","level of education","sex","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018"
"05 Östergötland county","total 16-74 years","primary and secondary education less than 9 years (ISCED97 1)","men",41347,39793,38028,36492,34730,33917,32389,30943,29515,28378,26919,25479,24016,22761,21645,20147,19026,18123,17327,16351,15471,14782,14201,13543,12898,12295,11672,11015,10423,9899,9344,8872,8336,7802
"05 Östergötland county","total 16-74 years","primary and secondary education less than 9 years (ISCED97 1)","women",45273,43770,41765,39982,37523,35703,33928,31974,30324,29184,27557,25862,24188,22746,21374,19709,18521,17454,16467,15493,14547,13718,12983,12264,11645,11115,10626,10056,9628,9226,8732,8237,7735,7261
"05 Östergötland county","total 16-74 years","primary and secondary education 9-10 years (ISCED97 2)","men",20503,20580,20669,20895,20886,21537,21649,21389,21172,21268,21853,22355,23034,23352,23719,22098,22130,22363,22790,23325,23539,24117,24614,24897,25149,25066,24860,24485,24027,24017,23869,24255,24432,24799
"05 Östergötland county","total 16-74 years","primary and secondary education 9-10 years (ISCED97 2)","women",23742,23899,24026,24170,23746,23301,23252,22348,22093,22111,22209,22533,22913,22833,22892,20616,20611,20674,20784,20876,20899,21300,21646,21769,21741,21613,21201,20800,20105,19756,19481,19489,19505,19517
"05 Östergötland county","total 16-74 years","upper secondary education, 2 years or less (ISCED97 3C)","men",36749,38128,39406,40489,41135,42882,43119,43378,43445,43713,43144,42197,41391,40463,39801,40345,40265,40115,39658,39234,38904,38786,38789,38537,38259,37932,37629,37408,37156,37033,36806,36617,36217,35761
"05 Östergötland county","total 16-74 years","upper secondary education, 2 years or less (ISCED97 3C)","women",40845,41659,42446,43362,45113,47628,47706,48461,48295,47952,47099,46207,45259,44284,43448,42433,41866,41337,40602,40011,39314,38723,38300,37705,37217,36531,36006,35506,34919,34285,33733,33217,32593,31734
"05 Östergötland county","total 16-74 years","upper secondary education 3 years (ISCED97 3A)","men",18644,18563,18629,18741,18878,21470,22331,23100,23764,24496,24941,25593,26143,26976,27641,28955,29728,30475,31138,31903,32726,33345,34375,35471,36673,37427,38213,39051,39937,40602,41196,41834,42488,42922
"05 Östergötland county","total 16-74 years","upper secondary education 3 years (ISCED97 3A)","women",9351,9783,10162,10602,11201,13202,14243,14824,15414,16822,17589,18380,18641,19637,20207,22773,23436,24213,24916,25926,26872,27477,28433,29340,30259,31018,31704,32531,33491,33988,34350,34458,35099,35529
"05 Östergötland county","total 16-74 years","post-secondary education, less than 3 years (ISCED97 4+5B)","men",8752,9373,9783,10115,10643,12617,13127,13953,14820,16329,17216,17824,18343,18433,18979,17713,17987,18276,18563,18808,18914,19107,19299,19656,20024,20914,21566,21859,22187,22594,22861,23344,23825,24156
"05 Östergötland county","total 16-74 years","post-secondary education, less than 3 years (ISCED97 4+5B)","women",9642,10240,10582,10767,11277,13605,14093,15216,16086,17050,18036,18642,19682,19766,20158,18377,18738,19161,19659,19702,19552,19617,19757,19999,20449,21028,21535,21802,22055,22705,23094,23585,23967,24074
