"region","age","level of education","sex","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018"
"17 Värmland county","total 16-74 years","primary and secondary education 9-10 years (ISCED97 2)","men",14889,14927,14867,15081,15151,15281,15317,15446,15232,15035,15261,15318,15714,15794,16000,14699,14753,14878,14943,15240,15468,15852,16108,16259,16233,15907,15584,15246,14940,14931,14838,14994,15089,15046
"17 Värmland county","total 16-74 years","primary and secondary education 9-10 years (ISCED97 2)","women",15676,15612,15671,15850,15625,15260,15312,14933,14484,14170,14390,14434,14724,15001,15052,13374,13035,13013,13088,13148,13200,13380,13588,13574,13522,13272,12928,12615,12272,12117,11880,11780,11692,11660
"17 Värmland county","total 16-74 years","upper secondary education, 2 years or less (ISCED97 3C)","men",27229,28194,29296,30085,30637,32499,32425,31963,31663,31432,30736,30241,29752,29221,28796,29474,29293,29137,28897,28711,28488,28432,28418,28155,27852,27527,27270,27033,26825,26624,26338,26098,25737,25381
"17 Värmland county","total 16-74 years","upper secondary education, 2 years or less (ISCED97 3C)","women",31230,31930,32688,33224,34160,36265,36140,36325,35968,35546,34794,34040,33439,32664,31960,31367,30884,30280,29583,29047,28507,28148,27697,27203,26754,26167,25676,25132,24626,24148,23693,23182,22644,21968
"17 Värmland county","total 16-74 years","upper secondary education 3 years (ISCED97 3A)","men",10254,10240,10179,10218,10339,12108,12845,13461,14218,15362,16229,16950,17421,17873,18313,19014,19437,19932,20596,21228,21866,22401,23152,23933,24786,25595,26107,26811,27363,27723,28086,28473,28854,29179
"17 Värmland county","total 16-74 years","upper secondary education 3 years (ISCED97 3A)","women",5352,5574,5777,6068,6299,7551,8222,8722,9492,10602,11353,11794,12066,12425,12798,14391,14917,15365,15987,16476,17154,17577,18211,18783,19314,19860,20213,20895,21368,21713,21966,22358,22754,22853
"17 Värmland county","total 16-74 years","post-secondary education, less than 3 years (ISCED97 4+5B)","men",5509,5835,6113,6441,6682,7852,8079,8689,9187,9726,9870,10153,10285,10331,10509,10183,10323,10428,10521,10627,10689,10701,10805,10805,10971,11302,11688,11824,12007,12325,12650,12993,13124,13106
"17 Värmland county","total 16-74 years","post-secondary education, less than 3 years (ISCED97 4+5B)","women",6508,6824,6933,7150,7514,8929,9238,10312,10987,11612,11867,12206,12351,12511,12879,11913,12138,12459,12703,12711,12385,12396,12429,12486,12612,12979,13132,13290,13413,13554,13855,13941,13946,13955
"17 Värmland county","total 16-74 years","post-secondary education 3 years or more (ISCED97 5A)","men",5371,5428,5548,5622,6000,6503,6561,6573,6613,6841,6887,6911,6981,7050,7162,8140,8323,8700,9101,9388,9633,9877,10159,10366,10576,10743,10938,11148,11312,11569,11784,12061,12234,12487
"17 Värmland county","total 16-74 years","post-secondary education 3 years or more (ISCED97 5A)","women",4724,4911,5069,5256,5564,5949,6090,6148,6312,6641,6812,7117,7468,7768,8132,10401,10946,11606,12294,13220,14182,14889,15655,16292,16923,17505,18161,18692,19338,19824,20327,20961,21503,22098
"17 Värmland county","total 16-74 years","post-graduate education (ISCED97 6)","men",269,284,287,291,306,257,265,268,270,294,294,301,309,335,344,373,374,384,394,413,443,463,473,482,494,497,504,512,514,521,547,561,574,596
"17 Värmland county","total 16-74 years","post-graduate education (ISCED97 6)","women",73,79,79,86,86,46,53,56,58,72,76,77,80,86,100,113,127,137,149,163,176,193,219,225,238,250,273,291,295,311,321,349,360,379
"17 Värmland county","total 16-74 years","no information about level of educational attainment","men",4349,4283,4499,4830,5327,1201,1642,1817,2162,1537,1271,1259,1135,1203,1172,1176,1358,1441,1628,1730,1749,2095,2123,2147,2261,2429,2306,2352,2485,2392,2493,2968,2829,3004
"17 Värmland county","total 16-74 years","no information about level of educational attainment","women",3815,3663,3780,4019,4312,973,1313,1389,1864,1365,1149,1141,1072,1069,1071,1083,1167,1144,1265,1357,1451,1634,1544,1658,1707,1721,1596,1643,1703,1612,1684,2075,1952,2022
"18 Örebro county","total 16-74 years","primary and secondary education less than 9 years (ISCED97 1)","men",31587,30395,28960,27792,26444,25527,24295,23086,21939,21043,19877,18874,17774,16884,15998,14877,14134,13505,12887,12284,11666,11138,10741,10245,9726,9250,8835,8365,7889,7546,7136,6736,6260,5708
"18 Örebro county","total 16-74 years","primary and secondary education less than 9 years (ISCED97 1)","women",33219,31883,30391,29206,27411,25860,24600,22698,21425,20498,19105,17784,16622,15575,14635,13482,12606,11832,11068,10416,9779,9255,8837,8393,7990,7686,7307,6948,6598,6324,6034,5709,5441,5109
"18 Örebro county","total 16-74 years","primary and secondary education 9-10 years (ISCED97 2)","men",13846,13834,13841,13985,13899,14225,14333,14142,14016,14002,14600,14784,15302,15457,15822,14597,14624,14982,15091,15335,15504,15976,16217,16448,16644,16668,16514,16269,16087,16073,16031,16311,16572,16720
"18 Örebro county","total 16-74 years","primary and secondary education 9-10 years (ISCED97 2)","women",15547,15576,15744,15787,15517,15125,15188,14398,14116,14066,14519,14471,14851,15010,15194,13639,13487,13566,13633,13788,13851,14074,14272,14363,14235,14052,13779,13497,13187,13072,12944,12890,12944,13024
"18 Örebro county","total 16-74 years","upper secondary education, 2 years or less (ISCED97 3C)","men",25335,26237,27082,27943,28410,29935,30036,30369,30295,30249,29479,29000,28600,28106,27754,28423,28429,28327,28073,27795,27592,27546,27560,27451,27261,27076,26949,26758,26599,26504,26322,26161,25856,25460
"18 Örebro county","total 16-74 years","upper secondary education, 2 years or less (ISCED97 3C)","women",28559,29102,29662,30243,31339,32874,32848,34010,33824,33514,32692,32058,31456,30735,30118,29543,29245,28753,28218,27733,27318,26969,26696,26339,25876,25397,25051,24724,24363,23936,23501,23071,22551,21882
"18 Örebro county","total 16-74 years","upper secondary education 3 years (ISCED97 3A)","men",11139,11025,11090,11111,11286,12615,12911,13283,13536,14559,15320,16142,16597,17259,17861,18515,18959,19488,20028,20580,21339,21831,22534,23317,24197,24736,25474,26329,27037,27657,28302,28844,29582,29919
"18 Örebro county","total 16-74 years","upper secondary education 3 years (ISCED97 3A)","women",5442,5633,5908,6186,6506,7766,8266,8744,9177,10039,10698,11347,11721,12262,12722,14455,15120,15639,16080,16544,17156,17656,18502,19172,19928,20323,20905,21505,22194,22693,23170,23594,24114,24462
"18 Örebro county","total 16-74 years","post-secondary education, less than 3 years (ISCED97 4+5B)","men",5630,6064,6272,6481,6856,8109,8262,8612,9144,9702,9958,10167,10366,10372,10564,10525,10506,10717,10941,11104,11173,11263,11318,11401,11571,12041,12344,12524,12840,13156,13443,13779,14178,14505
"18 Örebro county","total 16-74 years","post-secondary education, less than 3 years (ISCED97 4+5B)","women",6851,7231,7309,7476,7841,9436,9709,10162,10788,11631,12041,12557,12943,13187,13515,12528,12624,12893,13404,13571,13569,13549,13443,13645,13917,14359,14592,14592,14735,15028,15231,15501,15725,16079
"18 Örebro county","total 16-74 years","post-secondary education 3 years or more (ISCED97 5A)","men",5317,5378,5472,5519,5777,6270,6288,6254,6320,6663,6757,6826,6960,7096,7257,8349,8580,8974,9402,9801,10189,10429,10788,11112,11435,11776,12059,12400,12774,13021,13311,13742,13967,14372
"18 Örebro county","total 16-74 years","post-secondary education 3 years or more (ISCED97 5A)","women",5045,5261,5420,5638,5891,6293,6407,6484,6687,7060,7233,7423,7729,8040,8368,10938,11554,12346,12932,13742,14696,15458,16275,16992,17625,18346,19022,19834,20435,21113,21676,22407,23197,23871
"18 Örebro county","total 16-74 years","post-graduate education (ISCED97 6)","men",280,281,293,304,319,279,283,288,291,308,322,331,337,355,363,383,420,435,460,484,516,527,551,586,599,604,601,603,625,656,672,679,702,727
"18 Örebro county","total 16-74 years","post-graduate education (ISCED97 6)","women",105,99,104,113,116,60,63,65,68,89,99,101,105,104,121,129,147,148,170,186,210,234,260,288,315,334,354,363,395,417,457,494,524,561
"18 Örebro county","total 16-74 years","no information about level of educational attainment","men",4632,4288,4382,4467,4951,1066,1561,1811,2441,1637,1406,1458,1360,1499,1400,1368,1433,1282,1388,1362,1290,1517,1371,1435,1466,1563,1527,1653,1793,1822,1918,2242,2348,2546
"18 Örebro county","total 16-74 years","no information about level of educational attainment","women",3668,3253,3320,3332,3559,910,1321,1562,2252,1539,1428,1463,1459,1616,1511,1477,1461,1425,1510,1526,1427,1581,1375,1404,1492,1523,1460,1522,1530,1449,1528,1755,1859,1962
"19 Västmanland county","total 16-74 years","primary and secondary education less than 9 years (ISCED97 1)","men",25889,24834,23659,22655,21473,21039,20056,19100,18173,17437,16458,15567,14598,13819,13109,12224,11594,11034,10478,9907,9341,8171,7771,7329,6922,6634,6275,5893,5529,5146,4883,4684,4419,4133
"19 Västmanland county","total 16-74 years","primary and secondary education less than 9 years (ISCED97 1)","women",28729,27662,26511,25462,23934,22761,21585,20349,19265,18445,17242,16139,15093,14185,13336,12312,11553,10892,10235,9552,8934,7936,7500,7099,6680,6393,6065,5743,5461,5257,5044,4750,4509,4265
"19 Västmanland county","total 16-74 years","primary and secondary education 9-10 years (ISCED97 2)","men",15930,15606,15460,15542,15459,15239,15288,15226,14945,14832,15133,15186,15557,15868,16006,14763,14901,15306,15576,15881,16238,15626,15846,16074,16125,16108,15968,15784,15488,15478,15464,15749,15890,16088
"19 Västmanland county","total 16-74 years","primary and secondary education 9-10 years (ISCED97 2)","women",16803,16648,16655,16814,16591,15856,15835,15314,14806,14667,15054,15040,15206,15170,15302,13609,13577,13826,13928,14080,14299,13672,13790,14013,14061,13967,13611,13255,12738,12546,12293,12304,12169,12196
"19 Västmanland county","total 16-74 years","upper secondary education, 2 years or less (ISCED97 3C)","men",24555,25702,26693,27464,27969,29407,29517,29526,29286,29107,28422,27810,27293,26803,26380,26869,26904,26864,26678,26497,26314,24585,24641,24500,24294,24105,24032,23952,23940,23889,23812,23644,23385,23093
"19 Västmanland county","total 16-74 years","upper secondary education, 2 years or less (ISCED97 3C)","women",27277,27894,28478,28951,29778,31743,31689,32271,32135,31784,31020,30479,29843,29140,28630,27964,27624,27150,26676,26228,25813,23955,23830,23558,23294,22994,22721,22365,22199,21855,21500,21173,20768,20393
"19 Västmanland county","total 16-74 years","upper secondary education 3 years (ISCED97 3A)","men",12327,12212,12122,12071,12251,14001,14307,14530,15009,15988,16592,17027,17401,17638,17893,18857,19301,19679,20096,20666,21149,20607,21141,21772,22398,22959,23513,24022,24595,24965,25281,25516,26057,26374
"19 Västmanland county","total 16-74 years","upper secondary education 3 years (ISCED97 3A)","women",5646,5890,6102,6327,6618,7844,8345,8620,9075,9883,10397,10915,11213,11601,11901,13874,14568,15101,15498,16152,16605,16261,16769,17353,17966,18522,19279,19907,20319,20630,21038,21278,21689,21906
"19 Västmanland county","total 16-74 years","post-secondary education, less than 3 years (ISCED97 4+5B)","men",6266,6621,6878,7047,7418,8602,8704,8986,9255,9631,9823,10061,10286,10608,10727,10338,10415,10544,10698,10787,10860,10595,10692,10744,10843,11076,11358,11585,11813,12129,12357,12589,12817,12949
"19 Västmanland county","total 16-74 years","post-secondary education, less than 3 years (ISCED97 4+5B)","women",6004,6326,6630,6820,7263,8794,9031,9451,9823,10394,10622,10889,11283,11672,11898,11205,11436,11737,12046,12106,11969,11464,11326,11317,11464,11745,12025,12279,12523,12708,12922,13145,13369,13497
"19 Västmanland county","total 16-74 years","post-secondary education 3 years or more (ISCED97 5A)","men",5851,5885,5925,5914,6133,6626,6661,6625,6600,6851,6952,7046,7145,7180,7355,8298,8645,9077,9435,9802,10197,10154,10396,10633,10863,11111,11380,11709,12054,12424,12674,12989,13246,13548
"19 Västmanland county","total 16-74 years","post-secondary education 3 years or more (ISCED97 5A)","women",4679,4847,4974,5094,5289,5654,5796,5870,5953,6317,6483,6682,6988,7277,7681,9734,10368,11122,11805,12659,13606,13834,14584,15109,15633,16136,16745,17353,18046,18764,19380,19931,20477,21066
"19 Västmanland county","total 16-74 years","post-graduate education (ISCED97 6)","men",321,326,332,335,354,334,344,353,358,397,415,420,430,446,473,498,515,505,495,534,565,563,574,610,634,648,662,671,676,679,690,696,715,744
"19 Västmanland county","total 16-74 years","post-graduate education (ISCED97 6)","women",76,81,84,91,105,51,56,53,51,66,71,69,77,79,96,106,117,126,145,153,168,171,180,190,205,224,246,274,290,306,323,339,371,392
"19 Västmanland county","total 16-74 years","no information about level of educational attainment","men",4591,4343,4297,4425,4793,1090,1383,1664,2201,1462,1278,1286,1094,1201,1146,1189,1307,1142,1270,1348,1336,1398,1366,1449,1623,1675,1686,1730,1822,1868,1926,2158,2364,2551
"19 Västmanland county","total 16-74 years","no information about level of educational attainment","women",3598,3232,3244,3242,3479,919,1239,1540,2120,1414,1249,1291,1161,1240,1235,1213,1318,1221,1348,1365,1345,1488,1431,1437,1588,1672,1583,1633,1661,1566,1555,1779,1879,1981
"20 Dalarna county","total 16-74 years","primary and secondary education less than 9 years (ISCED97 1)","men",35256,33732,32249,30784,29304,28179,26863,25505,24199,23171,21889,20676,19455,18351,17400,16192,15340,14559,13762,13001,12299,11612,11060,10490,9903,9433,8963,8466,7941,7517,7183,6835,6313,5757
"20 Dalarna county","total 16-74 years","primary and secondary education less than 9 years (ISCED97 1)","women",35151,33698,32168,30783,29085,27396,26070,24380,22984,21884,20430,19078,17794,16675,15602,14394,13407,12483,11618,10813,10036,9316,8756,8232,7703,7301,6913,6548,6175,5876,5614,5284,4913,4543
"20 Dalarna county","total 16-74 years","primary and secondary education 9-10 years (ISCED97 2)","men",15019,14845,14771,14953,15162,15331,15420,15478,15314,15352,15990,16132,16496,16744,16994,15595,15805,15951,16067,16326,16530,16818,17046,17271,17180,16913,16548,16385,16100,16137,16198,16304,16434,16467
"20 Dalarna county","total 16-74 years","primary and secondary education 9-10 years (ISCED97 2)","women",16396,16172,16276,16497,16308,15670,15542,14908,14809,14983,15308,15375,15673,15900,15898,14024,13956,13885,13974,14109,14212,14439,14458,14505,14263,13972,13514,13165,12664,12444,12336,12453,12470,12459
"20 Dalarna county","total 16-74 years","upper secondary education, 2 years or less (ISCED97 3C)","men",27148,28096,29126,30151,30819,32958,33237,33604,33641,33409,32536,31966,31415,30901,30349,31024,30841,30714,30466,30251,30041,29965,29799,29533,29318,29108,28916,28687,28409,28166,28075,27928,27568,27198
"20 Dalarna county","total 16-74 years","upper secondary education, 2 years or less (ISCED97 3C)","women",30368,30810,31388,32025,33088,35604,35848,36670,36555,36249,35368,34665,34083,33360,32624,31981,31362,30829,30273,29772,29304,28885,28523,28100,27672,27107,26697,26225,25777,25323,24837,24321,23739,23066
"20 Dalarna county","total 16-74 years","upper secondary education 3 years (ISCED97 3A)","men",10598,10587,10726,10815,10877,12534,12768,12992,13515,14525,15292,16115,16390,16753,17036,17986,18500,19179,19920,20751,21524,22019,22683,23412,24181,25066,25778,26290,26809,27167,27655,28023,28478,28789
"20 Dalarna county","total 16-74 years","upper secondary education 3 years (ISCED97 3A)","women",5140,5429,5823,6173,6440,7679,8124,8743,9226,10060,10769,11440,11657,12036,12325,14357,14929,15500,16272,16873,17714,18192,18894,19669,20343,20938,21473,21836,22396,22634,22884,23081,23328,23542
"20 Dalarna county","total 16-74 years","post-secondary education, less than 3 years (ISCED97 4+5B)","men",5751,6004,6227,6482,6966,7975,8153,8445,8675,9118,9262,9332,9643,9678,9870,9551,9648,9856,9932,9994,9991,10092,10254,10316,10461,10786,10961,11115,11252,11420,11660,12011,12121,12100
"20 Dalarna county","total 16-74 years","post-secondary education, less than 3 years (ISCED97 4+5B)","women",6344,6639,6791,6939,7536,8788,9037,9323,9694,10361,10586,10847,11136,11362,11789,10972,11283,11625,11680,11593,11411,11568,11675,11688,11884,12239,12498,12664,12741,12757,12953,13218,13331,13347
"20 Dalarna county","total 16-74 years","post-secondary education 3 years or more (ISCED97 5A)","men",5219,5281,5342,5439,5769,6167,6194,6168,6198,6500,6587,6642,6673,6707,6793,7600,7806,8089,8486,8783,9065,9179,9378,9584,9855,10116,10186,10330,10558,10862,11068,11322,11408,11545
"20 Dalarna county","total 16-74 years","post-secondary education 3 years or more (ISCED97 5A)","women",4803,4979,5121,5299,5568,5877,6058,6120,6258,6639,6890,7127,7319,7598,7848,9617,10064,10798,11473,12174,13027,13591,14138,14739,15335,15818,16268,16881,17408,17997,18472,19013,19503,19997
"20 Dalarna county","total 16-74 years","post-graduate education (ISCED97 6)","men",275,281,291,295,313,288,285,290,292,311,319,327,331,336,349,366,380,399,416,428,442,454,467,465,475,467,482,488,490,498,500,513,536,540
"20 Dalarna county","total 16-74 years","post-graduate education (ISCED97 6)","women",74,84,87,91,107,50,53,55,57,74,74,75,74,75,85,99,119,125,137,139,148,157,179,184,215,227,232,248,261,267,281,289,312,318
"20 Dalarna county","total 16-74 years","no information about level of educational attainment","men",4538,4404,4480,4515,4741,1066,1486,1604,2033,1426,1189,1192,936,974,871,852,961,977,1119,1112,1151,1471,1454,1572,1771,1885,1701,1720,1834,1850,2009,2346,2346,2439
"20 Dalarna county","total 16-74 years","no information about level of educational attainment","women",3494,3205,3246,3270,3398,902,1223,1288,1726,1167,1025,1011,888,930,867,787,819,867,940,945,959,1209,1209,1353,1530,1627,1512,1484,1471,1449,1465,1762,1776,1794
"21 Gävleborg county","total 16-74 years","primary and secondary education less than 9 years (ISCED97 1)","men",36651,35022,33439,31994,30519,29445,28051,26701,25415,24349,23044,21824,20639,19584,18573,17265,16286,15341,14528,13776,12930,12179,11511,10865,10286,9655,9091,8500,8035,7660,7289,6891,6317,5748
"21 Gävleborg county","total 16-74 years","primary and secondary education less than 9 years (ISCED97 1)","women",37430,35869,34244,32860,30978,29389,27873,25867,24418,23347,21785,20354,19054,17843,16691,15346,14319,13280,12377,11585,10820,10028,9398,8840,8356,7943,7506,7031,6636,6422,6204,5848,5481,5124
"21 Gävleborg county","total 16-74 years","primary and secondary education 9-10 years (ISCED97 2)","men",16523,16442,16337,16467,16591,17442,17429,17113,16840,16615,17442,17489,18051,18217,18510,16831,16777,16967,17096,17435,17721,18038,18246,18406,18451,18291,17921,17721,17469,17599,17583,17879,18011,18065
"21 Gävleborg county","total 16-74 years","primary and secondary education 9-10 years (ISCED97 2)","women",17703,17661,17742,17867,17489,16967,16828,15970,15644,15397,15891,15750,15987,16180,16408,14538,14403,14409,14550,14746,14850,15024,15150,15236,15120,14802,14402,14047,13592,13537,13309,13415,13308,13292
"21 Gävleborg county","total 16-74 years","upper secondary education, 2 years or less (ISCED97 3C)","men",27999,29039,30116,31086,31608,33398,33599,33842,33814,33637,32770,32213,31764,31152,30656,31345,31146,30952,30621,30223,29962,29774,29684,29571,29325,29064,28884,28699,28480,28345,28265,28123,27773,27387
"21 Gävleborg county","total 16-74 years","upper secondary education, 2 years or less (ISCED97 3C)","women",30011,30496,31107,31667,32871,35099,35247,36159,36123,35801,34998,34580,34057,33236,32547,31776,31306,30630,29961,29403,28801,28338,27932,27512,27010,26585,26177,25795,25402,24977,24549,24115,23594,22967
"21 Gävleborg county","total 16-74 years","upper secondary education 3 years (ISCED97 3A)","men",10342,10361,10436,10511,10631,12015,12337,12612,13132,14084,14937,15716,16041,16527,16994,18102,18645,19228,19795,20497,21155,21726,22404,23103,23810,24572,25194,25808,26299,26801,27255,27641,28344,28476
"21 Gävleborg county","total 16-74 years","upper secondary education 3 years (ISCED97 3A)","women",5284,5510,5770,5955,6274,7450,7935,8160,8578,9517,10406,11081,11497,11799,12127,14263,14835,15564,16093,16753,17427,17882,18492,19018,19650,20258,20850,21386,21782,22015,22409,22626,23310,23044
"21 Gävleborg county","total 16-74 years","post-secondary education, less than 3 years (ISCED97 4+5B)","men",5615,5885,6091,6267,6576,7600,7722,8269,8548,9027,9202,9332,9356,9330,9538,9497,9595,9626,9688,9854,9884,9935,10032,10100,10227,10602,10840,11038,11123,11305,11541,11871,11696,11859
"21 Gävleborg county","total 16-74 years","post-secondary education, less than 3 years (ISCED97 4+5B)","women",6280,6559,6752,6883,7366,8837,9101,10037,10469,10932,11045,11155,11232,11577,12042,11501,11714,11810,12092,12219,11998,12035,12127,12198,12333,12682,12922,12970,13121,13373,13400,13502,13398,13738
"21 Gävleborg county","total 16-74 years","post-secondary education 3 years or more (ISCED97 5A)","men",4802,4794,4815,4860,5169,5501,5533,5477,5489,5725,5794,5857,5942,5987,6081,6891,7153,7368,7663,7996,8274,8455,8676,8914,9091,9237,9387,9580,9858,10120,10294,10512,10524,10700
"21 Gävleborg county","total 16-74 years","post-secondary education 3 years or more (ISCED97 5A)","women",4668,4846,4960,5094,5277,5382,5516,5554,5769,6110,6317,6613,6892,7283,7699,9592,10066,10609,11277,11957,12942,13526,14229,14906,15501,15941,16457,17046,17613,18217,18735,19335,19636,20283
"21 Gävleborg county","total 16-74 years","post-graduate education (ISCED97 6)","men",252,252,257,255,261,225,226,230,228,250,254,254,252,267,268,271,272,298,297,312,324,343,359,374,377,394,413,425,437,437,443,452,449,447
"21 Gävleborg county","total 16-74 years","post-graduate education (ISCED97 6)","women",78,82,83,78,79,37,37,39,40,59,60,64,63,72,87,87,98,111,116,130,138,149,169,193,203,206,208,215,229,232,243,259,264,281
"21 Gävleborg county","total 16-74 years","no information about level of educational attainment","men",4737,4512,4568,4695,5110,977,1341,1519,2075,1473,1105,1121,975,951,936,958,1014,969,1171,1170,1254,1454,1520,1686,1823,1845,1748,1777,1901,1807,1892,2029,2048,2105
"21 Gävleborg county","total 16-74 years","no information about level of educational attainment","women",3529,3261,3289,3282,3434,794,1053,1191,1768,1387,1056,1011,920,948,872,859,862,838,990,967,996,1240,1213,1438,1613,1566,1383,1368,1532,1436,1488,1597,1644,1651
"22 Västernorrland county","total 16-74 years","primary and secondary education less than 9 years (ISCED97 1)","men",30393,28979,27639,26341,24929,23937,22737,21602,20493,19550,18467,17373,16272,15300,14390,13286,12466,11714,11018,10313,9643,9012,8441,7883,7401,6934,6466,5936,5483,5114,4786,4482,4110,3654
"22 Västernorrland county","total 16-74 years","primary and secondary education less than 9 years (ISCED97 1)","women",32055,30627,29199,27810,26143,24772,23465,21823,20492,19429,18120,16799,15603,14532,13588,12392,11432,10571,9799,9028,8271,7582,7040,6539,6011,5538,5187,4784,4398,4118,3891,3594,3308,3006
"22 Västernorrland county","total 16-74 years","primary and secondary education 9-10 years (ISCED97 2)","men",14622,14452,14297,14305,14231,14355,14342,14137,13936,13934,14490,14524,14709,14999,15203,14016,13863,14035,13979,14067,14311,14720,14914,14980,14964,14851,14540,14292,14050,14072,14154,14134,14124,14177
"22 Västernorrland county","total 16-74 years","primary and secondary education 9-10 years (ISCED97 2)","women",15761,15564,15440,15545,15159,14487,14455,13585,13204,12900,13410,13293,13384,13590,13607,12089,11841,11852,11806,11938,11984,12218,12183,12202,11985,11872,11576,11261,10895,10657,10502,10518,10468,10433
"22 Västernorrland county","total 16-74 years","upper secondary education, 2 years or less (ISCED97 3C)","men",26637,27543,28497,29245,29677,31303,31521,31710,31783,31562,30650,30082,29585,28958,28415,28943,28779,28540,28157,27833,27555,27410,27321,27087,26751,26410,26172,25864,25611,25359,25149,24941,24540,23990
"22 Västernorrland county","total 16-74 years","upper secondary education, 2 years or less (ISCED97 3C)","women",27704,28333,28982,29555,30523,32186,32102,33129,33237,33207,32334,31768,31209,30434,29790,29159,28658,28152,27483,26988,26429,25985,25611,25185,24736,24200,23757,23275,22839,22379,21802,21314,20671,19964
"22 Västernorrland county","total 16-74 years","upper secondary education 3 years (ISCED97 3A)","men",9931,9951,9942,9975,10048,11116,11362,11670,12109,12793,13283,14092,14659,14753,14892,15098,15545,16034,16734,17349,17939,18314,18670,19230,19892,20382,20909,21350,21916,22349,22686,22986,23307,23414
"22 Västernorrland county","total 16-74 years","upper secondary education 3 years (ISCED97 3A)","women",5120,5317,5547,5698,6064,7162,7606,7788,8235,8796,9359,9964,10298,10520,10693,11957,12419,12969,13591,14115,14638,15161,15666,16247,16730,17164,17533,17872,18193,18630,18907,19082,19309,19339
"22 Västernorrland county","total 16-74 years","post-secondary education, less than 3 years (ISCED97 4+5B)","men",5958,6308,6623,6877,7311,8255,8442,8890,9257,9744,9825,9988,10159,10308,10416,10228,10178,10098,10023,9997,10040,10169,10182,10180,10264,10497,10710,10939,11002,11196,11376,11541,11549,11630
"22 Västernorrland county","total 16-74 years","post-secondary education, less than 3 years (ISCED97 4+5B)","women",6184,6517,6697,6931,7125,8432,8720,9523,9892,10430,10536,10970,11261,11436,11673,10683,10796,10851,10998,11008,10867,10846,10821,10825,11018,11292,11525,11635,11721,11765,11833,11915,11999,11953
"22 Västernorrland county","total 16-74 years","post-secondary education 3 years or more (ISCED97 5A)","men",4965,5049,5117,5145,5555,5943,5970,5952,5984,6152,6216,6252,6293,6358,6453,7340,7534,7762,8050,8384,8617,8884,9032,9204,9330,9458,9588,9772,9952,10137,10254,10459,10503,10548
"22 Västernorrland county","total 16-74 years","post-secondary education 3 years or more (ISCED97 5A)","women",4768,4905,5049,5155,5401,5581,5790,5878,6035,6320,6516,6725,7044,7350,7638,9761,10235,10861,11449,12109,12951,13580,14162,14635,15034,15428,15844,16328,16752,17176,17577,18021,18314,18658
"22 Västernorrland county","total 16-74 years","post-graduate education (ISCED97 6)","men",218,223,220,226,237,209,214,209,221,234,238,253,258,254,267,271,280,296,307,333,352,364,378,386,402,415,420,422,415,407,401,407,422,421
"22 Västernorrland county","total 16-74 years","post-graduate education (ISCED97 6)","women",76,84,79,82,91,36,39,40,46,58,62,66,64,69,76,89,103,104,112,122,130,147,154,159,176,183,196,208,213,227,249,259,269,287
"22 Västernorrland county","total 16-74 years","no information about level of educational attainment","men",3885,3644,3640,3693,3883,831,1211,1334,1576,1079,909,898,781,839,768,808,878,823,977,1056,1118,1192,1249,1316,1371,1483,1369,1366,1459,1429,1501,1815,1861,1943
"22 Västernorrland county","total 16-74 years","no information about level of educational attainment","women",3036,2739,2718,2636,2755,731,1027,1065,1382,976,847,813,723,754,642,657,638,611,814,893,978,994,926,994,1094,1124,1044,1064,1071,1063,1108,1228,1268,1307
"23 Jämtland county","total 16-74 years","primary and secondary education less than 9 years (ISCED97 1)","men",16178,15360,14548,13790,13034,12441,11811,11188,10528,10000,9339,8749,8132,7610,7136,6599,6163,5739,5414,5074,4727,4424,4140,3870,3603,3360,3159,2934,2706,2541,2387,2296,2129,1830
"23 Jämtland county","total 16-74 years","primary and secondary education less than 9 years (ISCED97 1)","women",15335,14597,13841,13197,12393,11563,10892,10056,9402,8869,8214,7607,7001,6469,5919,5357,4936,4558,4232,3916,3600,3279,3008,2825,2585,2420,2254,2090,1941,1841,1763,1666,1565,1431
"23 Jämtland county","total 16-74 years","primary and secondary education 9-10 years (ISCED97 2)","men",7312,7188,7079,7146,7230,7176,7158,6997,6957,6972,7294,7317,7469,7594,7683,7124,7179,7332,7355,7531,7497,7561,7639,7646,7643,7562,7416,7190,7007,6910,6847,6877,7024,7056
"23 Jämtland county","total 16-74 years","primary and secondary education 9-10 years (ISCED97 2)","women",7294,7209,7275,7367,7203,6696,6747,6501,6315,6191,6351,6347,6373,6455,6637,5923,5846,5859,5834,5924,5913,5991,6080,6027,5864,5657,5513,5303,5049,4876,4736,4706,4753,4786
"23 Jämtland county","total 16-74 years","upper secondary education, 2 years or less (ISCED97 3C)","men",13922,14430,14949,15446,15659,16715,16800,16856,16794,16723,16242,15904,15658,15294,15062,15085,14885,14734,14536,14399,14232,14128,14040,13904,13678,13478,13251,13092,12963,12821,12709,12573,12363,12088
"23 Jämtland county","total 16-74 years","upper secondary education, 2 years or less (ISCED97 3C)","women",15212,15446,15767,16172,16652,17677,17660,17884,17883,17890,17419,16988,16612,16163,15846,15291,14920,14621,14259,13964,13645,13378,13126,12885,12623,12325,12026,11767,11556,11299,11065,10752,10382,10045
