Utbildningsgrupp (SUN 2000),SUN 2000,2006 Samtliga,2006 Kvinnor,2006 Män,2007 Samtliga,2007 Kvinnor,2007 Män,2008 Samtliga,2008 Kvinnor,2008 Män,2009 Samtliga,2009 Kvinnor,2009 Män,2010 Samtliga,2010 Kvinnor,2010 Män,2011 Samtliga,2011 Kvinnor,2011 Män,2012 Samtliga,2012 Kvinnor,2012 Män,2013 Samtliga,2013 Kvinnor,2013 Män,2014 Samtliga,2014 Kvinnor,2014 Män,2015 Samtliga,2015 Kvinnor,2015 Män,2016 Samtliga,2016 Kvinnor,2016 Män,2017 Samtliga,2017 Kvinnor,2017 Män,2018 Samtliga,2018 Kvinnor,2018 Män
Teknik och tillverkning,Träutbildning vid gymnasium/yrkesskola                                                              ,22538,1436,21102,22242,1407,20835,21869,1381,20488,21427,1345,20082,20987,1336,19651,20561,1307,19254,20117,1289,18828,19596,1266,18330,19102,1253,17849,18572,1221,17351,17994,1189,16805,17469,1162,16307,16849,1146,15703
Teknik och tillverkning,Verkstadsutbildning vid gymnasium/yrkesskola                                                        ,157864,10450,147414,157763,10401,147362,157080,10278,146802,156344,10169,146175,155759,10048,145711,155031,9943,145088,154140,9823,144317,153622,9724,143898,152865,9576,143289,152610,9464,143146,152199,9363,142836,152075,9258,142817,150769,9136,141633
Teknik och tillverkning,Övrig gymnasial utbildning inom teknik och tillverkning                                             ,96312,14382,81930,91404,13725,77679,85739,12987,72752,80632,12222,68410,75016,11407,63609,70546,10821,59725,66126,10230,55896,62320,9705,52615,58534,9251,49283,56041,8976,47065,54226,8722,45504,52887,8470,44417,52233,8253,43980
Teknik och tillverkning,"Minst 30 (nya) högskolepoäng inom teknik, ej examen                                                 ",52361,11534,40827,54421,11867,42554,56636,12135,44501,59580,12657,46923,62526,13249,49277,65197,13808,51389,67202,14304,52898,69157,14807,54350,70905,15188,55717,72606,15514,57092,74667,15973,58694,77832,16724,61108,81233,17678,63555
Teknik och tillverkning,Arkitekt- och landskapsarkitektutbildning                                                           ,5851,2756,3095,5939,2847,3092,6036,2990,3046,6059,3070,2989,6046,3147,2899,6158,3278,2880,6244,3393,2851,6301,3500,2801,6480,3667,2813,6718,3858,2860,6904,4015,2889,7070,4164,2906,7286,4338,2948
Teknik och tillverkning,"Civilingenjörsutbildning: väg och vatten, byggnad, lantmäteri                                       ",14879,4042,10837,14976,4185,10791,15150,4349,10801,15369,4561,10808,15620,4779,10841,16365,5176,11189,16627,5425,11202,17177,5805,11372,17616,6104,11512,18096,6400,11696,18732,6816,11916,19374,7255,12119,19973,7641,12332
Teknik och tillverkning,"Civilingenjörsutbildning: maskin, fordon/farkost, industriell ekonomi                               ",29661,4877,24784,30523,5207,25316,31119,5501,25618,31761,5766,25995,32654,6130,26524,32960,6260,26700,33698,6513,27185,34724,6866,27858,35790,7292,28498,36821,7721,29100,38188,8224,29964,39384,8751,30633,40558,9288,31270
Teknik och tillverkning,"Civilingenjörsutbildning: elektroteknik, teknisk fysik, data                                        ",33398,4059,29339,34575,4316,30259,35580,4552,31028,35880,4693,31187,37011,4935,32076,37364,4954,32410,38158,5141,33017,39042,5347,33695,39651,5491,34160,40255,5714,34541,41445,6060,35385,42457,6400,36057,43292,6680,36612
Teknik och tillverkning,"Civilingenjörsutbildning: kemi- och bioteknik, material- och geoteknik                              ",13440,5331,8109,13708,5570,8138,13998,5877,8121,14167,6064,8103,14448,6301,8147,14846,6480,8366,15045,6677,8368,15341,6918,8423,15516,7083,8433,15709,7292,8417,16013,7499,8514,16391,7738,8653,16561,7934,8627
Teknik och tillverkning,Civilingenjörsutbildning; övrig/ospec. inriktning                                                   ,7395,1773,5622,8560,2127,6433,9507,2461,7046,10183,2740,7443,10621,2884,7737,11413,3188,8225,11745,3357,8388,12229,3560,8669,12986,3850,9136,13555,4119,9436,14013,4322,9691,14449,4468,9981,16689,5108,11581
