"region","occupation (SSYK 2012)","age","sex","2014","2015","2016","2017"
"08 Kalmar county","311 Physical and engineering science technicians","35-39 years","women",47,54,47,39
"08 Kalmar county","311 Physical and engineering science technicians","40-44 years","men",226,234,228,213
"08 Kalmar county","311 Physical and engineering science technicians","40-44 years","women",39,35,40,43
"08 Kalmar county","311 Physical and engineering science technicians","45-49 years","men",259,249,226,246
"08 Kalmar county","311 Physical and engineering science technicians","45-49 years","women",25,18,27,33
"08 Kalmar county","311 Physical and engineering science technicians","50-54 years","men",208,226,245,277
"08 Kalmar county","311 Physical and engineering science technicians","50-54 years","women",34,41,33,35
"08 Kalmar county","311 Physical and engineering science technicians","55-59 years","men",212,210,192,211
"08 Kalmar county","311 Physical and engineering science technicians","55-59 years","women",19,23,23,27
"08 Kalmar county","311 Physical and engineering science technicians","60-64 years","men",165,177,178,188
"08 Kalmar county","311 Physical and engineering science technicians","60-64 years","women",16,19,19,18
"09 Gotland county","311 Physical and engineering science technicians","16-24 years","men",6,4,1,3
"09 Gotland county","311 Physical and engineering science technicians","16-24 years","women",1,2,1,2
"09 Gotland county","311 Physical and engineering science technicians","25-29 years","men",10,5,10,12
"09 Gotland county","311 Physical and engineering science technicians","25-29 years","women",3,3,3,1
"09 Gotland county","311 Physical and engineering science technicians","30-34 years","men",16,16,21,23
"09 Gotland county","311 Physical and engineering science technicians","30-34 years","women",2,4,2,2
"09 Gotland county","311 Physical and engineering science technicians","35-39 years","men",21,22,22,24
"09 Gotland county","311 Physical and engineering science technicians","35-39 years","women",6,5,4,9
"09 Gotland county","311 Physical and engineering science technicians","40-44 years","men",33,30,25,22
"09 Gotland county","311 Physical and engineering science technicians","40-44 years","women",5,4,4,3
"09 Gotland county","311 Physical and engineering science technicians","45-49 years","men",28,30,22,21
"09 Gotland county","311 Physical and engineering science technicians","45-49 years","women",4,4,6,6
"09 Gotland county","311 Physical and engineering science technicians","50-54 years","men",27,33,34,31
"09 Gotland county","311 Physical and engineering science technicians","50-54 years","women",5,5,6,6
"09 Gotland county","311 Physical and engineering science technicians","55-59 years","men",34,30,32,30
"09 Gotland county","311 Physical and engineering science technicians","55-59 years","women",6,5,4,6
"09 Gotland county","311 Physical and engineering science technicians","60-64 years","men",28,30,33,33
"09 Gotland county","311 Physical and engineering science technicians","60-64 years","women",2,4,4,5
"10 Blekinge county","311 Physical and engineering science technicians","16-24 years","men",36,33,43,51
"10 Blekinge county","311 Physical and engineering science technicians","16-24 years","women",4,5,14,15
"10 Blekinge county","311 Physical and engineering science technicians","25-29 years","men",68,60,71,104
"10 Blekinge county","311 Physical and engineering science technicians","25-29 years","women",12,12,16,26
"10 Blekinge county","311 Physical and engineering science technicians","30-34 years","men",143,114,99,117
"10 Blekinge county","311 Physical and engineering science technicians","30-34 years","women",29,26,19,25
"10 Blekinge county","311 Physical and engineering science technicians","35-39 years","men",194,192,169,173
"10 Blekinge county","311 Physical and engineering science technicians","35-39 years","women",36,27,31,30
"10 Blekinge county","311 Physical and engineering science technicians","40-44 years","men",278,219,233,243
"10 Blekinge county","311 Physical and engineering science technicians","40-44 years","women",70,65,49,48
"10 Blekinge county","311 Physical and engineering science technicians","45-49 years","men",319,288,259,279
"10 Blekinge county","311 Physical and engineering science technicians","45-49 years","women",41,40,51,64
"10 Blekinge county","311 Physical and engineering science technicians","50-54 years","men",217,197,232,258
"10 Blekinge county","311 Physical and engineering science technicians","50-54 years","women",33,25,22,31
"10 Blekinge county","311 Physical and engineering science technicians","55-59 years","men",177,139,151,176
"10 Blekinge county","311 Physical and engineering science technicians","55-59 years","women",24,23,20,15
"10 Blekinge county","311 Physical and engineering science technicians","60-64 years","men",129,97,105,132
"10 Blekinge county","311 Physical and engineering science technicians","60-64 years","women",19,20,17,21
"12 Skåne county","311 Physical and engineering science technicians","16-24 years","men",180,212,241,239
"12 Skåne county","311 Physical and engineering science technicians","16-24 years","women",32,39,71,99
"12 Skåne county","311 Physical and engineering science technicians","25-29 years","men",604,596,669,829
"12 Skåne county","311 Physical and engineering science technicians","25-29 years","women",194,184,255,303
"12 Skåne county","311 Physical and engineering science technicians","30-34 years","men",866,884,894,951
"12 Skåne county","311 Physical and engineering science technicians","30-34 years","women",280,281,285,304
"12 Skåne county","311 Physical and engineering science technicians","35-39 years","men",1058,1157,1192,1164
"12 Skåne county","311 Physical and engineering science technicians","35-39 years","women",301,324,334,322
