"region","age","level of education","sex","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018"
"SE11 Stockholm","total 16-74 years","post-secondary education 3 years or more (ISCED97 5A)","men",65529,67163,68431,69414,72279,80783,81500,81262,81903,86562,88595,90769,93752,96480,100940,117624,122400,126792,129793,133556,138053,142792,148932,154374,159995,165712,172387,178253,184271,190037,195634,201412,206765,214381
"SE11 Stockholm","total 16-74 years","post-secondary education 3 years or more (ISCED97 5A)","women",53835,56422,58350,60134,62858,70180,71714,72236,73746,79266,82537,85995,90763,95712,101972,126651,133573,139940,144820,151465,159885,167167,176019,184403,192626,201102,210823,219653,228704,237680,246562,255301,263154,271889
"SE11 Stockholm","total 16-74 years","post-graduate education (ISCED97 6)","men",6305,6491,6681,6918,7179,7234,7395,7488,7665,8480,8647,8864,9100,9417,10099,10771,11312,11502,11650,11853,12155,12262,12453,12748,13106,13339,13720,14008,14232,14406,14634,14864,15108,15251
"SE11 Stockholm","total 16-74 years","post-graduate education (ISCED97 6)","women",2315,2467,2572,2702,2894,2007,2118,2154,2239,2780,2888,3023,3248,3468,3922,4494,4931,5267,5611,5975,6394,6668,7025,7395,7929,8355,8793,9212,9559,9901,10303,10661,11124,11564
"SE11 Stockholm","total 16-74 years","no information about level of educational attainment","men",55420,52593,53316,54122,56267,17710,21762,25073,28331,21071,19201,20615,18015,19718,18218,17224,18078,16169,17217,17331,17404,20232,20479,21194,22524,23676,23856,25022,25950,26918,28751,31931,35831,37043
"SE11 Stockholm","total 16-74 years","no information about level of educational attainment","women",44716,41730,43152,43371,44196,13839,17915,21217,25000,17851,16839,18085,17100,18678,17582,16055,16705,14984,16139,15925,15377,17763,16601,17143,18219,18346,17942,18386,18905,19028,19541,20900,22662,23902
"SE12 East-Central Sweden","total 16-74 years","primary and secondary education less than 9 years (ISCED97 1)","men",148168,142688,136266,130791,124417,121634,116214,110932,105840,101781,96478,91522,86318,81967,77911,72588,68897,65730,62811,59619,56473,53874,51604,49226,46776,44616,42399,40055,37826,35812,33954,32352,30370,28247
"SE12 East-Central Sweden","total 16-74 years","primary and secondary education less than 9 years (ISCED97 1)","women",159666,154123,147318,141525,132933,126650,120552,112999,107137,102912,96769,90747,85037,79992,75310,69542,65279,61518,57872,54360,51077,48088,45604,43308,41098,39336,37473,35692,34092,32721,31247,29699,28214,26662
"SE12 East-Central Sweden","total 16-74 years","primary and secondary education 9-10 years (ISCED97 2)","men",76671,76321,76444,77450,77561,79497,79894,79203,78249,78227,80866,82205,84921,86257,87639,81524,82009,83525,84714,86267,87748,90197,91993,93252,93874,93755,93255,92146,90743,90618,90465,91810,92900,94465
"SE12 East-Central Sweden","total 16-74 years","primary and secondary education 9-10 years (ISCED97 2)","women",86414,86446,86999,87617,86081,84072,84179,80755,79093,79011,80737,81317,82882,83366,84119,75583,75344,75887,76104,76737,77461,78782,79906,80483,80362,79844,78376,76385,74076,73062,72217,72243,72331,72724
"SE12 East-Central Sweden","total 16-74 years","upper secondary education, 2 years or less (ISCED97 3C)","men",132756,138290,143234,147506,150155,157625,158678,159803,159836,159732,156292,153067,150653,147944,145985,148714,148880,148636,147355,146123,145023,144574,144712,143935,143040,142113,141304,140601,139854,139467,138899,138359,136835,135348
"SE12 East-Central Sweden","total 16-74 years","upper secondary education, 2 years or less (ISCED97 3C)","women",146249,149404,152550,155708,161377,171941,172529,176784,176269,174647,170980,167541,164356,160737,157831,154861,153324,151320,148878,146613,144325,142399,141335,139453,137611,135408,133655,131988,130384,128286,126311,124538,122046,119203
"SE12 East-Central Sweden","total 16-74 years","upper secondary education 3 years (ISCED97 3A)","men",63928,63615,63879,64253,65216,73532,75914,77343,79287,83569,86539,89603,92115,94605,97001,101754,104515,107257,110087,113427,117009,119738,123536,127970,132495,135899,139622,143427,146988,149846,152605,155190,158577,160461
"SE12 East-Central Sweden","total 16-74 years","upper secondary education 3 years (ISCED97 3A)","women",33790,35022,36526,38173,40449,46705,49830,51428,53803,58450,61670,64542,66296,69234,71194,80972,83978,87028,89646,92759,96198,98994,102646,106592,110418,113159,116290,119696,122803,124948,126996,128538,131445,133049
"SE12 East-Central Sweden","total 16-74 years","post-secondary education, less than 3 years (ISCED97 4+5B)","men",32035,34287,35680,36925,38909,46195,47433,50953,54103,58044,60061,61685,63080,63982,65339,61480,62005,63017,63915,64787,65390,66101,66976,67930,69228,71780,73844,75051,76409,77927,79260,80818,82474,83899
"SE12 East-Central Sweden","total 16-74 years","post-secondary education, less than 3 years (ISCED97 4+5B)","women",36115,38311,39344,40127,42264,51525,53057,57460,61062,65534,68148,70490,73140,74526,76366,69577,70663,72033,73848,74497,73807,73955,74167,75007,76476,78677,80448,81451,82545,83837,85121,86622,87900,89125
"SE12 East-Central Sweden","total 16-74 years","post-secondary education 3 years or more (ISCED97 5A)","men",34987,35554,35978,36329,38348,42055,42256,42127,42236,44147,44523,44850,45581,46047,47030,55829,58142,61005,63455,65686,67878,69544,71738,73850,76087,78357,80167,82414,84797,86959,88671,91236,93125,95389
"SE12 East-Central Sweden","total 16-74 years","post-secondary education 3 years or more (ISCED97 5A)","women",31188,32509,33466,34589,36028,38801,39490,39837,40658,43163,44285,45612,47480,49187,51637,66956,71209,75677,79579,84270,89661,93744,98317,102380,106493,110682,114781,119026,123201,127364,131314,135591,139642,144035
"SE12 East-Central Sweden","total 16-74 years","post-graduate education (ISCED97 6)","men",4165,4429,4575,4746,4963,4937,5057,5082,5181,5604,5748,5847,5951,6100,6355,6617,6935,7121,7277,7492,7648,7762,7973,8204,8397,8556,8686,8786,8963,9112,9230,9295,9494,9598
"SE12 East-Central Sweden","total 16-74 years","post-graduate education (ISCED97 6)","women",1200,1305,1395,1452,1553,1123,1193,1215,1263,1515,1611,1702,1792,1881,2076,2315,2562,2787,3014,3287,3509,3683,3959,4194,4490,4725,4939,5192,5429,5710,5956,6179,6408,6647
"SE12 East-Central Sweden","total 16-74 years","no information about level of educational attainment","men",26294,24763,25235,25986,28276,6192,8767,10577,13529,9164,7872,8138,7511,8184,7590,7315,7771,6930,7558,7654,7612,8484,8669,9197,10275,10690,10088,10344,10939,11027,11592,13683,15163,16570
"SE12 East-Central Sweden","total 16-74 years","no information about level of educational attainment","women",21305,19446,20080,20215,21602,5296,7566,9314,12623,8629,7974,8088,7699,8241,7770,7244,7638,7138,7800,7761,7505,8442,8020,8540,9524,9725,8979,9166,9502,9064,9339,10795,11319,11969
"SE21 Småland and islands","total 16-74 years","primary and secondary education less than 9 years (ISCED97 1)","men",98905,95280,91110,87523,83747,81504,77845,74391,71067,68271,65083,61769,58556,55648,52900,49359,46790,44507,42231,40126,37935,35953,34270,32624,30906,29385,27723,26159,24658,23349,22186,21117,19554,18033
"SE21 Småland and islands","total 16-74 years","primary and secondary education less than 9 years (ISCED97 1)","women",95787,92449,88529,85149,80589,76793,73211,68634,65157,62772,59360,55912,52649,49584,46856,43245,40601,38096,35741,33523,31468,29455,27758,26124,24478,23119,21765,20402,19212,18141,17286,16441,15409,14410
"SE21 Småland and islands","total 16-74 years","primary and secondary education 9-10 years (ISCED97 2)","men",42693,43058,43139,43695,44215,48012,48041,47791,47375,48030,49964,49948,51038,51737,52672,49299,49038,49506,49796,50636,51316,52134,53040,53567,53589,53101,52465,51486,50353,50521,50298,50685,51184,51866
"SE21 Småland and islands","total 16-74 years","primary and secondary education 9-10 years (ISCED97 2)","women",45420,45396,45661,46003,45167,44689,44486,42997,42218,42862,43735,43715,44370,44701,45098,40771,40423,40415,40350,40603,40911,41395,41566,41808,41236,40595,39445,38184,36749,36234,35781,35822,35739,36058
"SE21 Småland and islands","total 16-74 years","upper secondary education, 2 years or less (ISCED97 3C)","men",69913,72578,75393,77839,79400,84545,85507,86401,86568,86112,84206,82682,81258,79939,78754,80562,80369,80162,79446,78753,78103,77901,77758,77482,76802,76049,75547,75130,74690,74220,73837,73683,73113,72353
"SE21 Småland and islands","total 16-74 years","upper secondary education, 2 years or less (ISCED97 3C)","women",80387,82106,84241,86079,88902,95024,95647,97846,97903,96839,94881,93068,91215,89292,87665,85948,84695,83461,81982,80622,79335,78156,77280,76162,75012,73672,72589,71562,70378,69160,68024,67065,65709,64121
"SE21 Småland and islands","total 16-74 years","upper secondary education 3 years (ISCED97 3A)","men",25797,25907,26269,26592,26646,31246,32131,32683,33771,36675,38883,41413,43458,45434,46925,49369,51127,52682,54605,56425,58755,60781,63084,65413,67966,70011,72238,74420,76266,77707,79146,80496,81971,83159
"SE21 Småland and islands","total 16-74 years","upper secondary education 3 years (ISCED97 3A)","women",14853,15557,16432,17310,18153,21739,22976,23745,25249,28165,30458,32659,33957,35441,36610,41994,43985,45647,47363,48968,50948,52813,54997,56906,58855,60346,62241,63735,64811,65689,66605,67217,68253,68691
"SE21 Småland and islands","total 16-74 years","post-secondary education, less than 3 years (ISCED97 4+5B)","men",14900,15861,16750,17632,18631,21758,22232,23333,24360,25571,26416,26976,27597,27934,28524,28290,28715,29564,30351,30878,31089,31310,31814,32474,33139,34255,35164,35692,36222,37064,37972,39290,39954,40571
"SE21 Småland and islands","total 16-74 years","post-secondary education, less than 3 years (ISCED97 4+5B)","women",17061,18005,18496,19125,20472,24663,25328,27347,28515,29861,30768,31696,33034,33663,34546,32274,32904,33932,35437,36157,35756,35769,36128,36614,37281,38175,38877,39459,39966,40563,41190,42037,42874,43296
"SE21 Småland and islands","total 16-74 years","post-secondary education 3 years or more (ISCED97 5A)","men",14176,14425,14646,14789,15867,17204,17371,17272,17449,18284,18581,18821,19082,19373,19748,22624,23559,24596,25740,26957,28087,28893,29847,30548,31375,32183,32995,33841,34669,35672,36655,37637,38346,39320
"SE21 Småland and islands","total 16-74 years","post-secondary education 3 years or more (ISCED97 5A)","women",13098,13660,14105,14528,15244,15953,16427,16544,16960,17988,18701,19493,20368,21371,22528,28826,30615,32529,34176,36476,39282,41347,43457,45464,47268,49148,50894,52883,54694,56524,58516,60572,62323,64278
"SE21 Småland and islands","total 16-74 years","post-graduate education (ISCED97 6)","men",683,718,718,726,763,631,630,620,626,683,701,730,739,757,821,874,931,969,1000,1034,1086,1147,1197,1236,1253,1283,1299,1304,1325,1396,1433,1458,1487,1508
"SE21 Småland and islands","total 16-74 years","post-graduate education (ISCED97 6)","women",217,218,227,243,258,105,110,113,119,157,165,180,178,188,214,251,305,331,364,406,445,492,537,599,642,701,732,799,853,902,938,986,1039,1086
"SE21 Småland and islands","total 16-74 years","no information about level of educational attainment","men",16224,15427,15678,16048,17794,3330,4551,4953,6461,4720,3699,3793,3400,3574,3239,3252,3488,3244,3572,3642,3689,4574,4762,4954,5259,5456,5128,5249,5703,5732,6064,7505,8231,8680
"SE21 Småland and islands","total 16-74 years","no information about level of educational attainment","women",11494,10416,10584,10667,11632,2725,3794,4266,5854,4183,3609,3606,3362,3548,3266,3181,3376,3193,3497,3633,3423,4075,3990,4281,4553,4527,4046,4065,4300,4320,4394,5383,5706,5832
"SE22 South Sweden","total 16-74 years","primary and secondary education less than 9 years (ISCED97 1)","men",121514,117085,112184,107880,103091,101650,97396,93081,89258,86151,82170,78256,73849,70448,67144,62609,59461,56687,54182,51705,49223,46938,45018,43055,41030,39131,37193,35280,33357,31947,30352,29090,27648,25939
"SE22 South Sweden","total 16-74 years","primary and secondary education less than 9 years (ISCED97 1)","women",129736,125246,119909,115374,109578,105238,100473,94308,89838,86752,82272,77780,73271,69419,65871,61217,57585,54274,51144,48349,45599,43078,40980,39118,37192,35509,33803,32186,30567,29281,27807,26520,25402,24090
"SE22 South Sweden","total 16-74 years","primary and secondary education 9-10 years (ISCED97 2)","men",62742,62985,63185,63830,64231,68035,68831,68522,67864,68682,71927,72236,74510,75838,77244,71411,71482,72870,73386,74814,76090,77808,79031,80177,80635,80411,79783,79072,78210,78302,78355,79297,80201,80992
"SE22 South Sweden","total 16-74 years","primary and secondary education 9-10 years (ISCED97 2)","women",71714,71640,71847,72347,71028,71319,71633,69141,67780,68053,69604,69491,70768,71660,72215,65124,64480,64945,64711,65168,65437,66255,66832,67209,67099,66669,65611,64200,62671,61875,61183,61399,61439,61934
"SE22 South Sweden","total 16-74 years","upper secondary education, 2 years or less (ISCED97 3C)","men",107525,111261,115152,118264,119751,124577,125613,126615,126826,126374,123499,121255,119548,117568,115986,118653,118369,117771,116727,115669,114622,114572,114852,114265,113786,113231,112928,112187,111321,110947,110509,110124,109170,107703
"SE22 South Sweden","total 16-74 years","upper secondary education, 2 years or less (ISCED97 3C)","women",122856,125131,127750,129902,132747,140701,140982,144272,143865,142530,139460,136888,134432,131511,129080,126954,125360,123395,120825,118960,117080,115819,114817,113417,111755,110180,108744,107160,105449,103924,102324,100833,98870,96385
"SE22 South Sweden","total 16-74 years","upper secondary education 3 years (ISCED97 3A)","men",53030,53031,53573,54008,54146,61100,62803,63044,63835,68199,71419,75266,78545,81298,83694,86017,88412,90599,92595,95430,98562,101162,104442,107950,111517,114500,117567,120162,122930,125093,127630,129524,131454,133208
"SE22 South Sweden","total 16-74 years","upper secondary education 3 years (ISCED97 3A)","women",30476,31593,33125,34581,36642,42203,44822,45172,46674,50689,54445,57745,60247,62723,65220,72918,75939,78372,80972,83441,86396,89046,92446,95183,98864,101248,103460,105991,107950,109636,111226,112690,114096,115160
"SE22 South Sweden","total 16-74 years","post-secondary education, less than 3 years (ISCED97 4+5B)","men",25250,26772,27723,28790,30189,37095,38160,42109,45346,48179,49511,50483,51392,52167,53428,52791,53728,55041,56354,57447,58471,59416,60901,62525,64465,66848,69006,70330,71269,72688,74234,76139,77381,78503
"SE22 South Sweden","total 16-74 years","post-secondary education, less than 3 years (ISCED97 4+5B)","women",28764,30683,31578,32390,34481,43077,44325,48985,52253,56081,57722,59301,60420,61863,63827,59185,60508,62688,64539,65457,64968,65287,66151,67748,69465,71886,73914,74904,76224,77728,79085,80145,81587,82615
"SE22 South Sweden","total 16-74 years","post-secondary education 3 years or more (ISCED97 5A)","men",29351,29892,30572,31099,33765,37905,38303,38260,38476,40580,41224,41854,42644,43510,45037,53643,56155,58959,61558,64197,67117,69746,72964,75546,78147,80200,82348,84063,86185,88588,90819,93334,95035,97512
"SE22 South Sweden","total 16-74 years","post-secondary education 3 years or more (ISCED97 5A)","women",25561,26788,27675,28730,30339,33386,34434,34819,35676,38376,39861,41572,43827,46061,48873,62133,65946,70220,74041,79040,85099,89744,94779,99269,103723,107681,111751,115652,119722,123939,127774,132348,135991,140197
"SE22 South Sweden","total 16-74 years","post-graduate education (ISCED97 6)","men",3347,3484,3590,3738,3858,3785,3915,3946,4015,4389,4475,4568,4697,4821,5100,5372,5575,5822,5981,6193,6334,6422,6616,6789,6960,7031,7142,7260,7375,7516,7612,7695,7754,7880
"SE22 South Sweden","total 16-74 years","post-graduate education (ISCED97 6)","women",922,995,1081,1139,1205,869,930,958,1010,1193,1258,1323,1428,1535,1722,1921,2111,2284,2456,2641,2826,2977,3207,3397,3591,3822,4016,4180,4335,4529,4736,4918,5080,5301
"SE22 South Sweden","total 16-74 years","no information about level of educational attainment","men",25311,24113,24773,25535,27962,6503,8690,10472,12695,9973,9046,9451,8642,9192,8324,8101,8915,8713,9766,9869,10295,13249,13863,15008,16151,16616,14960,14556,14567,14626,14980,16624,18287,18789
"SE22 South Sweden","total 16-74 years","no information about level of educational attainment","women",21695,20213,20814,21386,23017,5331,7556,9319,11708,8872,8558,9118,8968,9548,8678,8036,8543,8271,9204,9387,9289,11394,11131,12050,12920,12880,11682,11555,11424,11072,11047,12010,12920,13518
"SE23 West Sweden","total 16-74 years","primary and secondary education less than 9 years (ISCED97 1)","men",174554,168480,161227,154971,148129,146666,140415,134058,128217,123593,117725,111837,105541,100456,95614,89264,84650,80798,77010,73241,69543,66089,62944,60070,57211,54656,51995,49146,46359,43744,41344,39438,36851,34335
"SE23 West Sweden","total 16-74 years","primary and secondary education less than 9 years (ISCED97 1)","women",180932,174823,167123,160615,152212,145631,138736,129845,123322,118536,111984,105425,98939,93303,88087,81721,76681,72384,68160,64284,60561,56890,53829,50976,48308,45977,43767,41328,39167,37292,35319,33659,31822,29902
"SE23 West Sweden","total 16-74 years","primary and secondary education 9-10 years (ISCED97 2)","men",89892,90627,90612,91747,92039,98152,98055,97350,96156,95966,100506,101881,105781,107474,109924,102720,102823,104588,105282,107177,108938,111451,112997,114363,114718,114320,112634,110925,108995,108733,108514,109391,110036,111145
"SE23 West Sweden","total 16-74 years","primary and secondary education 9-10 years (ISCED97 2)","women",100506,101245,101552,102661,101154,99632,99188,95033,92286,92499,95577,96086,98315,99293,100142,90193,89601,89975,89959,90733,91546,92910,93672,93972,93559,93101,90872,88268,85591,84130,82983,82559,82473,82928
"SE23 West Sweden","total 16-74 years","upper secondary education, 2 years or less (ISCED97 3C)","men",145765,151590,157502,161989,164555,173604,175684,177165,177553,177498,173494,170417,168411,165804,163642,166660,166265,165671,164182,162793,161262,160962,160825,160007,159269,157820,157055,156045,154965,154192,153058,152388,150822,149100
"SE23 West Sweden","total 16-74 years","upper secondary education, 2 years or less (ISCED97 3C)","women",165576,169539,173362,176652,180446,193654,194425,199228,199605,197452,193403,190040,186894,183147,179850,176450,174015,171595,168259,165338,162662,160692,158880,156561,154241,151658,149607,147325,144934,142469,140008,137822,134707,131706
"SE23 West Sweden","total 16-74 years","upper secondary education 3 years (ISCED97 3A)","men",70530,71106,72185,73106,73516,82920,84600,86036,86952,92917,97439,101814,105355,109015,112319,118261,122663,125903,129562,133703,138802,142833,148001,153056,158179,162212,166883,171478,175866,179638,182748,185555,188947,191533
"SE23 West Sweden","total 16-74 years","upper secondary education 3 years (ISCED97 3A)","women",41283,43537,46189,48611,51528,58967,62020,64224,66473,72312,76709,81006,83919,87524,90520,102736,106995,110933,114474,118193,122600,126621,130630,135006,139180,141999,145659,149046,152608,154828,156795,158404,160503,161520
"SE23 West Sweden","total 16-74 years","post-secondary education, less than 3 years (ISCED97 4+5B)","men",35103,37845,39857,41361,43914,52656,53905,57312,61713,65361,67735,69714,71267,73163,74632,72227,73040,74802,76724,77840,78497,79621,81101,82924,85115,88208,90646,92145,93962,96233,98380,100877,102603,103976
"SE23 West Sweden","total 16-74 years","post-secondary education, less than 3 years (ISCED97 4+5B)","women",40411,43208,44693,45903,48914,60177,61535,66099,70035,75195,77831,80139,82044,84531,87086,80668,82372,84760,87535,88622,87387,87958,89366,91066,93602,97003,99168,100837,102638,104704,106499,108554,109501,110988
"SE23 West Sweden","total 16-74 years","post-secondary education 3 years or more (ISCED97 5A)","men",39353,40382,41382,42195,44813,49669,49933,49782,50190,52595,53772,54831,56131,57243,59189,69860,73092,76811,80161,83807,87370,89784,92768,95573,98464,101390,104334,107020,110082,113508,116897,120792,123883,127803
"SE23 West Sweden","total 16-74 years","post-secondary education 3 years or more (ISCED97 5A)","women",34447,36166,37586,39020,40890,44843,45890,46406,47429,50372,52322,54598,57744,60503,63955,81514,86775,92089,97369,103768,111554,117331,123068,128677,134023,139243,145140,150940,156583,162307,168260,174296,179900,185776
"SE23 West Sweden","total 16-74 years","post-graduate education (ISCED97 6)","men",3384,3566,3700,3868,4033,3947,4084,4135,4245,4620,4774,4931,5101,5219,5528,5906,6204,6438,6635,6881,7095,7169,7252,7367,7528,7685,7928,8037,8128,8336,8525,8707,8868,9020
"SE23 West Sweden","total 16-74 years","post-graduate education (ISCED97 6)","women",1108,1211,1289,1342,1435,861,931,973,1021,1220,1306,1381,1490,1587,1783,2053,2309,2454,2649,2903,3125,3301,3479,3696,3915,4107,4354,4547,4783,5043,5298,5489,5715,5993
"SE23 West Sweden","total 16-74 years","no information about level of educational attainment","men",40355,38312,39060,39711,43223,10224,12832,14953,18234,13816,11454,11863,10285,10573,9634,9367,10249,9627,10330,10476,10555,12212,12212,12900,13395,13580,13167,13141,13847,14090,15336,17425,19158,20531
"SE23 West Sweden","total 16-74 years","no information about level of educational attainment","women",30999,28401,29064,29211,31533,7357,9859,11840,15331,11665,10001,10482,9875,10306,9718,9047,9402,8893,9751,9731,9429,10798,10041,10596,11111,11025,10564,10485,10957,10952,11549,12898,13905,14314
"SE31 North-Central Sweden","total 16-74 years","primary and secondary education less than 9 years (ISCED97 1)","men",106465,101830,97270,93002,88567,85320,81322,77350,73560,70384,66421,62779,59168,55984,52991,49218,46445,43888,41459,39140,36756,34598,32726,30813,29077,27353,25756,24086,22607,21352,20207,19042,17447,15801
"SE31 North-Central Sweden","total 16-74 years","primary and secondary education less than 9 years (ISCED97 1)","women",106888,102335,97684,93450,88178,83461,79274,73858,69713,66512,62120,58040,54245,50821,47486,43732,40727,37889,35278,32864,30610,28361,26562,24836,23274,21972,20623,19313,18109,17204,16414,15349,14298,13202
"SE31 North-Central Sweden","total 16-74 years","primary and secondary education 9-10 years (ISCED97 2)","men",46431,46214,45975,46501,46904,48054,48166,48037,47386,47002,48693,48939,50261,50755,51504,47125,47335,47796,48106,49001,49719,50708,51400,51936,51864,51111,50053,49352,48509,48667,48619,49177,49534,49578
"SE31 North-Central Sweden","total 16-74 years","primary and secondary education 9-10 years (ISCED97 2)","women",49775,49445,49689,50214,49422,47897,47682,45811,44937,44550,45589,45559,46384,47081,47358,41936,41394,41307,41612,42003,42262,42843,43196,43315,42905,42046,40844,39827,38528,38098,37525,37648,37470,37411
"SE31 North-Central Sweden","total 16-74 years","upper secondary education, 2 years or less (ISCED97 3C)","men",82376,85329,88538,91322,93064,98855,99261,99409,99118,98478,96042,94420,92931,91274,89801,91843,91280,90803,89984,89185,88491,88171,87901,87259,86495,85699,85070,84419,83714,83135,82678,82149,81078,79966
"SE31 North-Central Sweden","total 16-74 years","upper secondary education, 2 years or less (ISCED97 3C)","women",91609,93236,95183,96916,100119,106968,107235,109154,108646,107596,105160,103285,101579,99260,97131,95124,93552,91739,89817,88222,86612,85371,84152,82815,81436,79859,78550,77152,75805,74448,73079,71618,69977,68001
"SE31 North-Central Sweden","total 16-74 years","upper secondary education 3 years (ISCED97 3A)","men",31194,31188,31341,31544,31847,36657,37950,39065,40865,43971,46458,48781,49852,51153,52343,55102,56582,58339,60311,62476,64545,66146,68239,70448,72777,75233,77079,78909,80471,81691,82996,84137,85676,86444
"SE31 North-Central Sweden","total 16-74 years","upper secondary education 3 years (ISCED97 3A)","women",15776,16513,17370,18196,19013,22680,24281,25625,27296,30179,32528,34315,35220,36260,37250,43011,44681,46429,48352,50102,52295,53651,55597,57470,59307,61056,62536,64117,65546,66362,67259,68065,69392,69439
"SE31 North-Central Sweden","total 16-74 years","post-secondary education, less than 3 years (ISCED97 4+5B)","men",16875,17724,18431,19190,20224,23427,23954,25403,26410,27871,28334,28817,29284,29339,29917,29231,29566,29910,30141,30475,30564,30728,31091,31221,31659,32690,33489,33977,34382,35050,35851,36875,36941,37065
"SE31 North-Central Sweden","total 16-74 years","post-secondary education, less than 3 years (ISCED97 4+5B)","women",19132,20022,20476,20972,22416,26554,27376,29672,31150,32905,33498,34208,34719,35450,36710,34386,35135,35894,36475,36523,35794,35999,36231,36372,36829,37900,38552,38924,39275,39684,40208,40661,40675,41040
"SE31 North-Central Sweden","total 16-74 years","post-secondary education 3 years or more (ISCED97 5A)","men",15392,15503,15705,15921,16938,18171,18288,18218,18300,19066,19268,19410,19596,19744,20036,22631,23282,24157,25250,26167,26972,27511,28213,28864,29522,30096,30511,31058,31728,32551,33146,33895,34166,34732
"SE31 North-Central Sweden","total 16-74 years","post-secondary education 3 years or more (ISCED97 5A)","women",14195,14736,15150,15649,16409,17208,17664,17822,18339,19390,20019,20857,21679,22649,23679,29610,31076,33013,35044,37351,40151,42006,44022,45937,47759,49264,50886,52619,54359,56038,57534,59309,60642,62378
"SE31 North-Central Sweden","total 16-74 years","post-graduate education (ISCED97 6)","men",796,817,835,841,880,770,776,788,790,855,867,882,892,938,961,1010,1026,1081,1107,1153,1209,1260,1299,1321,1346,1358,1399,1425,1441,1456,1490,1526,1559,1583
"SE31 North-Central Sweden","total 16-74 years","post-graduate education (ISCED97 6)","women",225,245,249,255,272,133,143,150,155,205,210,216,217,233,272,299,344,373,402,432,462,499,567,602,656,683,713,754,785,810,845,897,936,978
"SE31 North-Central Sweden","total 16-74 years","no information about level of educational attainment","men",13624,13199,13547,14040,15178,3244,4469,4940,6270,4436,3565,3572,3046,3128,2979,2986,3333,3387,3918,4012,4154,5020,5097,5405,5855,6159,5755,5849,6220,6049,6394,7343,7223,7548
